,Product_Name,Brand,Capacity_kg,Machine_Type,Load_type,Color,Price,Discount_%,Reviews_Count
133,"LG 7 kg 5 Star, Allergen free with Steam, Inverter Direct Drive - Less vibration, less noise, 6 Motion Direct Drive, 1200 RPM, Essence Fully Automatic Front Load Washing Machine",LG,7,Fully Automatic,Front Load,with In-built Heater White,27990,33,319
134,Voltas Beko by A Tata Product 7 kg Semi Automatic Top Load Washing Machine,Voltas Beko by A Tata Product,7,Semi Automatic,Top Load,Maroon,8675,25,347
135,White Westinghouse (Trademark by Electrolux) 6.5 kg Fully Automatic Top Load Washing Machine,Unknown,6.5,Fully Automatic,Top Load,Grey,11900,36,75
136,Voltas Beko by A Tata Product 7 kg Semi Automatic Top Load Washing Machine,Voltas Beko by A Tata Product,7,Semi Automatic,Top Load,White,8290,31,2515
137,Voltas Beko by A Tata Product 7 kg Semi Automatic Top Load Washing Machine,Voltas Beko by A Tata Product,7,Semi Automatic,Top Load,Maroon,8890,36,58
138,Voltas Beko by A Tata Product 7 kg Semi Automatic Top Load Washing Machine,Voltas Beko by A Tata Product,7,Semi Automatic,Top Load,"White, Maroon",8290,34,2515
139,Voltas Beko by A Tata Product 7 kg Semi Automatic Top Load Washing Machine,Voltas Beko by A Tata Product,7,Semi Automatic,Top Load,"Maroon, White",8493,34,2515
140,Voltas Beko by A Tata Product 7 kg Semi Automatic Top Load Washing Machine,Voltas Beko by A Tata Product,7,Semi Automatic,Top Load,White,8488,43,2515
141,Unknown,Reliance,7.5,Unknown,Unknown,Unknown,4790,37,486
142,"Haier 8 kg Powerful Oceanus Wave Drum, Custom Wash Cycles with 15 Mins Quick Wash, Near Zero Pressure Technology, Toughened Glass, Dual Magic Filter Fully Automatic Top Load Washing Machine",Haier,8,Fully Automatic,Top Load,"Brown, Grey",17490,39,737
143,Voltas Beko by A Tata Product 10 kg Semi Automatic Top Load Washing Machine,Voltas Beko by A Tata Product,10,Semi Automatic,Top Load,"Blue, White",12490,,23446
144,Voltas Beko by A Tata Product 14 kg Semi Automatic Top Load Washing Machine,Voltas Beko by A Tata Product,14,Semi Automatic,Top Load,Blue,14690,40,23446
145,Voltas Beko 11 kg Fully Automatic Top Load Washing Machine,Voltas Beko,11,Fully Automatic,Top Load,"Black, Grey",20490,55,2679
146,Lloyd by Havells 8 kg |1300 RPM|Soak Function|3 Wash Programs|Swift Dry| Magic Filter Semi Automatic Top Load Washing Machine,Lloyd by Havells,8,Semi Automatic,Top Load,"Maroon, White",11490,35,1525
147,Voltas Beko 11 kg Fully Automatic Top Load Washing Machine,Voltas Beko,11,Fully Automatic,Top Load,"with In-built Heater Black, Grey",20999,56,2679
148,BOSCH 9 kg Fully Automatic Front Load Washing Machine,BOSCH,9,Fully Automatic,Front Load,with In-built Heater Silver,36990,29,13805
149,"Haier 8 kg AI with Inverter Motor, IPuristeam and Refresh Function, Anti Bacterial Technology, Super Drum 525mm with Custom Wash Programs Fully Automatic Front Load Washing Machine",Haier,8,Fully Automatic,Front Load,"Black, White",27990,47,3030
150,"Samsung 9 kg 5 Star, AI Ecobubble, Super Speed, Wi-Fi, Hygiene Steam, Digital Inverter Motor Fully Automatic Front Load Washing Machine",Samsung,9,Fully Automatic,Front Load,with In-built Heater Grey,37990,25,26571
151,"IFB 7 kg 5 Star with Steam Refresh Program, 9 Swirl wash, Eco Inverter, Powered by AI with WiFi Fully Automatic Front Load Washing Machine",IFB,7,Fully Automatic,Front Load,with In-built Heater Black,29490,20,30648
152,Admiral 8 kg Fully Automatic Top Load Washing Machine,Admiral,8,Fully Automatic,Top Load,"with In-built Heater Black, Grey",11990,45,2
153,MOTOROLA 7 kg Fully Automatic Top Load Washing Machine,MOTOROLA,7,Fully Automatic,Top Load,Grey,11600,29,5810
154,LG 7 kg Semi Automatic Top Load Washing Machine,LG,7,Semi Automatic,Top Load,"Grey, White",25990,23,9
155,"LG 9 kg 5 Star, Smart Inverter Technology, TurboDrum, Jetspray+, Turbowash, Smart Diagnosis, Soft Closing Door, tub cleaning after every wash cycle Fully Automatic Top Load Washing Machine",LG,9,Fully Automatic,Top Load,"Black, Grey",36989,36,86853
156,BOSCH 8 kg Fully Automatic Front Load Washing Machine,BOSCH,8,Fully Automatic,Front Load,with In-built Heater Blue,11689,30,3
157,Godrej 8 kg 5 Star With Active Soak Technology With Tri Roto Scrub Pulsator Semi Automatic Top Load Washing Machine,Godrej,8,Semi Automatic,Top Load,Grey,34150,43,5751
158,BOSCH 8 kg Fully Automatic Front Load Washing Machine,BOSCH,8,Fully Automatic,Front Load,with In-built Heater Black,43490,27,13805
159,"LG 12 kg 5 Star, AI Direct Drive Technology, Wi-Fi Enabled, Steam Wash, Intelligent & Convenient Fabric Care, Allergy Care, Remote Control, In-Built Heater Fully Automatic Front Load Washing Machine",LG,12,Fully Automatic,Front Load,with In-built Heater Black,8490,46,2438
160,Sharp 7 kg Semi Automatic Top Load Washing Machine,Sharp,7,Semi Automatic,Top Load,"Grey, Black",14950,34,4
161,Voltas Beko by A Tata Product 7 kg Fully Automatic Top Load Washing Machine,Voltas Beko by A Tata Product,7,Fully Automatic,Top Load,Grey,16490,56,6
162,Voltas Beko by A Tata Product 8 kg Fully Automatic Top Load Washing Machine,Voltas Beko by A Tata Product,8,Fully Automatic,Top Load,Grey,16990,59,828
