,Product_Name,Brand,Capacity_kg,Machine_Type,Load_type,Color,Price,Discount_%,Reviews_Count
258,LG 7 kg with Inverter Fully Automatic Front Load Washing Machine,LG,7,Fully Automatic,Front Load,with In-built Heater Silver,36990,9,45
259,"IFB 10 kg 5 Star with Steam Refresh Program, 9 Swirl wash, Eco Inverter, Powered by AI with WiFi Fully Automatic Front Load Washing Machine",IFB,10,Fully Automatic,Front Load,with In-built Heater Black,46390,12,30648
260,Midea 7 kg Semi Automatic Top Load Washing Machine,Midea,7,Semi Automatic,Top Load,"Blue, White",7890,28,276
261,"Whirlpool 7 kg 5 Star Inverter 100+ Tough Stains, Steam Technology Fully Automatic Front Load Washing Machine",Whirlpool,7,Fully Automatic,Front Load,with In-built Heater Silver,26490,27,2773
262,"BOSCH 8 kg INVERTERTOUCHCONTROL,1200RPM Fully Automatic Front Load Washing Machine",BOSCH,8,Fully Automatic,Front Load,with In-built Heater White,39000,5,10120
263,MarQ by Flipkart 8.5 kg 5 Star Rating Innowash Range Semi Automatic Top Load Washing Machine,MarQ by Flipkart,8.5,Semi Automatic,Top Load,"Blue, White",9290,45,63703
264,"IFB 8 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Touch Panel with AI Fully Automatic Front Load Washing Machine",IFB,8,Fully Automatic,Front Load,with In-built Heater White,32500,25,30648
265,"IFB 7 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Powered by AI with Wifi Fully Automatic Front Load Washing Machine",IFB,7,Fully Automatic,Front Load,with In-built Heater Grey,28109,23,30648
266,"IFB 9 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, with AI Fully Automatic Front Load Washing Machine",IFB,9,Fully Automatic,Front Load,"with In-built Heater Black, Silver",36990,24,30648
267,Whirlpool 6.5 kg Fully Automatic Top Load Washing Machine,Whirlpool,6.5,Fully Automatic,Top Load,Grey,19127,8,112
268,Lloyd 10 kg Semi Automatic Top Load Washing Machine,Lloyd,10,Semi Automatic,Top Load,Black,16149,26,10
269,LG 7 kg Semi Automatic Top Load Washing Machine,LG,7,Semi Automatic,Top Load,"Blue, White",11526,23,686
270,LG 7 kg Semi Automatic Top Load Washing Machine,LG,7,Semi Automatic,Top Load,"White, Blue",12211,19,686
271,Voltas Beko 10 kg Fully Automatic Top Load Washing Machine,Voltas Beko,10,Fully Automatic,Top Load,"Black, Grey",18990,57,2679
272,Voltas Beko by A Tata Product 8.5 kg 5 Star Semi Automatic Top Load Washing Machine,Voltas Beko by A Tata Product,8.5,Semi Automatic,Top Load,Blue,10690,54,6278
273,Panasonic 8 kg Semi Automatic Top Load Washing Machine,Panasonic,8,Semi Automatic,Top Load,Blue,12890,15,15
274,Godrej 8 kg Inbuilt Heater with Unbalanced Load Sensing Fully Automatic Top Load Washing Machine,Godrej,8,Fully Automatic,Top Load,with In-built Heater Grey,18790,44,53
275,Godrej 8 kg With AI Tech And Zero Pressure (0.02 MPa) Technology With Steel Drum Fully Automatic Top Load Washing Machine,Godrej,8,Fully Automatic,Top Load,"Grey, Black",16990,48,4180
276,"LG 9 kg 5 Star, Inverter Direct Drive Technology, 6 Motion DD, Reduce germs & allergens with steam cycles, In-built Heater, Touch Panel Fully Automatic Front Load Washing Machine",LG,9,Fully Automatic,Front Load,"with In-built Heater Black, Grey",35990,32,13331
277,"LG 7 kg 5 Star, Inverter Direct Drive Technology, 6 Motion DD, Reduce germs & allergens with steam cycles, In-built Heater & Touch Panel Fully Automatic Front Load Washing Machine",LG,7,Fully Automatic,Front Load,"with In-built Heater Black, Grey",28990,34,13331
278,Voltas Beko 8 kg Fully Automatic Top Load Washing Machine,Voltas Beko,8,Fully Automatic,Top Load,Grey,15990,60,2679
279,"Whirlpool 7 kg 5 Star, Hard Water wash Fully Automatic Top Load Washing Machine",Whirlpool,7,Fully Automatic,Top Load,Grey,14390,32,14582
280,Whirlpool 7 kg Fully Automatic Top Load Washing Machine,Whirlpool,7,Fully Automatic,Top Load,with In-built Heater Grey,16490,31,15
281,"Whirlpool 7.5 kg 5 Star, Hard Water wash Fully Automatic Top Load Washing Machine",Whirlpool,7.5,Fully Automatic,Top Load,Grey,15590,37,14582
282,White Westinghouse (Trademark by Electrolux) 10.5 kg Fully Automatic Front Load Washing Machine,Unknown,10.5,Fully Automatic,Front Load,with In-built Heater White,27499,44,552
283,Samsung 11 kg Fully Automatic Top Load Washing Machine,Samsung,11,Fully Automatic,Top Load,Grey,37990,18,54
284,Panasonic 6.7 kg Fully Automatic Top Load Washing Machine,Panasonic,6.7,Fully Automatic,Top Load,with In-built Heater Grey,16990,30,249
285,LG 7.5 kg Fully Automatic Top Load Washing Machine,LG,7.5,Fully Automatic,Top Load,Grey,30990,36,4
286,"Haier 10 kg Toughened Glass, Anti Bacterial Vortex Pulsator, 1300 RPM, Spray Function, Wash Programs, Magic Filter, Rat Mesh Semi Automatic Top Load Washing Machine",Haier,10,Semi Automatic,Top Load,"with In-built Heater Black, Grey",14999,26,6970
287,"IFB 11 kg 5 Star with DeepClean Technology, PowerSteam, AI Powered,Aqua Energie Fully Automatic Top Load Washing Machine",IFB,11,Fully Automatic,Top Load,"with In-built Heater Grey, Black",33100,,28
288,BOSCH 6 kg Fully Automatic Front Load Washing Machine,BOSCH,6,Fully Automatic,Front Load,with In-built Heater White,29636,12,8
289,Whirlpool 8.5 kg Fully Automatic Top Load Washing Machine,Whirlpool,8.5,Fully Automatic,Top Load,with In-built Heater Grey,18590,32,17
290,"IFB 6.5 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Powered by AI with Power Steam Fully Automatic Front Load Washing Machine",IFB,6.5,Fully Automatic,Front Load,"with In-built Heater Silver, Black",27990,22,30648
291,Lloyd by Havells 6.5 kg Fully Automatic Top Load Washing Machine,Lloyd by Havells,6.5,Fully Automatic,Top Load,Grey,17900,14,3
292,Whirlpool 8 kg Fully Automatic Top Load Washing Machine,Whirlpool,8,Fully Automatic,Top Load,with In-built Heater Grey,21390,27,370
293,Whirlpool 11 kg Semi Automatic Top Load Washing Machine,Whirlpool,11,Semi Automatic,Top Load,Grey,14540,30,676
294,Whirlpool 9 kg Semi Automatic Top Load Washing Machine,Whirlpool,9,Semi Automatic,Top Load,Grey,13250,30,1145
295,Samsung 7 kg Fully Automatic Top Load Washing Machine,Samsung,7,Fully Automatic,Top Load,"Black, Grey",18499,17,10
296,"BOSCH 6 kg Drive Motor, Anti Tangle, Anti Vibration Fully Automatic Front Load Washing Machine",BOSCH,6,Fully Automatic,Front Load,White,78980,34,9193
297,Unknown,LG,8,Fully Automatic,Front Load,Unknown,44490,29,219
298,"IFB 10 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, with AI Fully Automatic Front Load Washing Machine",IFB,10,Fully Automatic,Front Load,with In-built Heater Black,42950,28,30648
299,"IFB 9 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, with AI Fully Automatic Front Load Washing Machine",IFB,9,Fully Automatic,Front Load,"with In-built Heater Black, Grey",14490,54,30648
300,Equator 8 kg Ozone Sanitize and Saree Cycle Fully Automatic Top Load Washing Machine,Equator,8,Fully Automatic,Top Load,Beige,17490,36,11
301,"Haier 8 kg Toughened Glass with Anti Bacterial Vortex Pulsator, 1300 RPM, Spray Function, Wash Programs, Magic Filter, Rat Mesh Fully Automatic Top Load Washing Machine",Haier,8,Fully Automatic,Top Load,"Black, Grey",14090,47,107
302,"Godrej 7 kg 5 Star, Zero Pressure Technology Fills Tub 60% Faster, Stainless Steel Gravity Drum Fully Automatic Top Load Washing Machine",Godrej,7,Fully Automatic,Top Load,Grey,13398,53,10508
303,"Acer 6.5 kg Halo Wash Series with Glass Lid, 5 Star Rating, AiSense, AutoBalance, Hex-Fin Jet Pulsator, SwirlWash Tub Fully Automatic Top Load Washing Machine",Acer,6.5,Fully Automatic,Top Load,"Black, Grey",27990,37,10
304,Haier 7 kg Fully Automatic Front Load Washing Machine,Haier,7,Fully Automatic,Front Load,"with In-built Heater Black, Blue",33999,30,3030
305,Haier 8 kg Fully Automatic Front Load Washing Machine,Haier,8,Fully Automatic,Front Load,"with In-built Heater Black, Blue",11599,32,3030
306,LG 7.5 kg Semi Automatic Top Load Washing Machine,LG,7.5,Semi Automatic,Top Load,Maroon,17090,39,750
307,Godrej 7.5 Kg 5 Star Germ Shield Technology & Roller Coaster Wash Technology Fully Automatic Top Load Washing Machine,Godrej,7.5,Fully Automatic,Top Load,"with In-built Heater Black, Maroon",37990,24,4180
308,Admiral 6.5 kg Semi Automatic Top Load Washing Machine,Admiral,6.5,Semi Automatic,Top Load,"Maroon, White",35990,15,192
309,"IFB 9 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, with AI Fully Automatic Front Load Washing Machine",IFB,9,Fully Automatic,Front Load,with In-built Heater Brown,7490,40,60
310,"Samsung 12 kg 5 Star, AI Wash, AI Energy Mode, Wi-Fi, Ecobubble, AI VRT+, Super Speed, Soft Closing Door, Digital Inverter Fully Automatic Top Load Washing Machine",Samsung,12,Fully Automatic,Top Load,"Grey, Black",,,108865
311,Voltas Beko 6.5 kg Semi Automatic Top Load Washing Machine,Voltas Beko,6.5,Semi Automatic,Top Load,"Maroon, White",,,23446
312,"Whirlpool 7 kg 5 Star,Turbo Scrub Technology Semi Automatic Top Load Washing Machine",Whirlpool,7,Semi Automatic,Top Load,Grey,11390,1,60782
313,"Samsung 7 kg 5 star, Ecobubble, Super Speed, Digital Inverter, Fully Automatic Top Load Washing Machine",Samsung,7,Fully Automatic,Top Load,Grey,19190,20,8997
314,"Samsung 7 kg 5 star, Ecobubble, Wi-Fi, Digital Inverter,Hygiene Steam Fully Automatic Top Load Washing Machine",Samsung,7,Fully Automatic,Top Load,with In-built Heater Grey,24490,14,911
315,"Midea 7.5 kg 5 Star Rust proof Body, Air Dry Function, Rat Away Feature Semi Automatic Top Load Washing Machine",Midea,7.5,Semi Automatic,Top Load,"Maroon, White",7790,37,52
316,"LG 8 kg 5 Star, Inverter Direct Drive Technology, 6 Motion, Steam Fully Automatic Front Load Washing Machine",LG,8,Fully Automatic,Front Load,with In-built Heater White,35843,16,23129
317,Voltas Beko 8 kg Semi Automatic Top Load Washing Machine,Voltas Beko,8,Semi Automatic,Top Load,"Blue, White",9790,48,23446
318,Godrej 10 kg 5 Star With Zero Pressure (0.02 MPa) Technology Fully Automatic Top Load Washing Machine,Godrej,10,Fully Automatic,Top Load,with In-built Heater Grey,22990,42,4180
319,MOTOROLA 7 kg Super Steam Technology Fully Automatic Front Load Washing Machine,MOTOROLA,7,Fully Automatic,Front Load,with In-built Heater Blue,21190,48,13036
320,Admiral 8 kg Semi Automatic Top Load Washing Machine,Admiral,8,Semi Automatic,Top Load,Black,10490,13,192
321,Samsung 7.5 Kg Semi Automatic Top Load Washing Machine,Samsung,7.5,Semi Automatic,Top Load,"Black, Grey",13578,14,14
322,Samsung 7 kg Fully Automatic Top Load Washing Machine,Samsung,7,Fully Automatic,Top Load,Silver,23500,13,66
323,Voltas Beko 12 Kg Semi Automatic Top Load Washing Machine,Voltas Beko,12,Semi Automatic,Top Load,"Blue, White",13590,39,23446
324,"Lloyd by Havells 7.5 kg |1300 RPM|Soak Function|3 Wash Programs|Swift Dry|Magic Filter, Semi Automatic Top Load Washing Machine",Lloyd by Havells,7.5,Semi Automatic,Top Load,"Maroon, White",10690,39,3033
325,"IFB 7 kg with Steam Wash, Aqua Energie, Anti-Allergen Fully Automatic Front Load Washing Machine",IFB,7,Fully Automatic,Front Load,with In-built Heater White,31590,13,11
326,"IFB 7 kg with Steam Wash, Aqua Energie, Anti-Allergen Fully Automatic Front Load Washing Machine",IFB,7,Fully Automatic,Front Load,with In-built Heater White,31590,10,1216
327,Voltas Beko 7 kg Semi Automatic Top Load Washing Machine,Voltas Beko,7,Semi Automatic,Top Load,"White, Maroon",8560,34,89
328,ONIDA 6.5 kg 5 Star Semi Automatic Top Load Washing Machine,ONIDA,6.5,Semi Automatic,Top Load,"Blue, White",9990,1,10520
329,Lloyd by Havells 9 kg Semi Automatic Top Load Washing Machine,Lloyd by Havells,9,Semi Automatic,Top Load,"Grey, Orange",14249,28,3033
330,BOSCH 7.5 kg Fully Automatic Top Load Washing Machine,BOSCH,7.5,Fully Automatic,Top Load,White,21978,24,12
331,Samsung 6.5 kg with Steam Fully Automatic Front Load Washing Machine,Samsung,6.5,Fully Automatic,Front Load,Silver,35000,8,31
332,"Samsung 7 kg with Steam ,Wi-Fi Enabled Enabled Fully Automatic Front Load Washing Machine",Samsung,7,Fully Automatic,Front Load,with In-built Heater Black,39990,18,28
333,"Samsung 8 kg 5 star, AI Control, AI Eco Bubble, Wi-Fi Fully Automatic Front Load Washing Machine",Samsung,8,Fully Automatic,Front Load,"with In-built Heater Black, Grey",34490,38,26571
334,Whirlpool 11 kg 5 Star Semi Automatic Top Load Washing Machine,Whirlpool,11,Semi Automatic,Top Load,with In-built Heater Grey,17599,16,101
335,Samsung 6.5 kg with Steam Fully Automatic Front Load Washing Machine,Samsung,6.5,Fully Automatic,Front Load,with In-built Heater Silver,33406,16,18
336,Voltas Beko by A Tata Product 8 kg 5 Star Fully Automatic Front Load Washing Machine,Voltas Beko by A Tata Product,8,Fully Automatic,Front Load,with In-built Heater Grey,26999,49,2748
337,Power Guard 7 kg Semi Automatic Top Load Washing Machine,Power Guard,7,Semi Automatic,Top Load,Blue,9039,43,3
338,MOTOROLA 7 kg 5 Star Rating Garment Sterilization Fully Automatic Front Load Washing Machine,MOTOROLA,7,Fully Automatic,Front Load,with In-built Heater White,25190,25,445
339,Unknown,IFB,6.5,Unknown,Unknown,Unknown,32600,55,71
340,LG 8 kg 5 Star with AI Direct Drive Washer with Steam Fully Automatic Front Load Washing Machine,LG,8,Fully Automatic,Front Load,with In-built Heater Black,38990,26,77
341,"LG 8 kg 5 Star, AI Direct Drive Technology, Steam, 6 Motion DD Fully Automatic Front Load Washing Machine",LG,8,Fully Automatic,Front Load,Black,35900,28,13331
342,LG Electronics 7.5 kg Semi Automatic Top Load Washing Machine,LG Electronics,7.5,Semi Automatic,Top Load,"Grey, White",12592,30,54
343,realme TechLife 12 kg MegaWash Range Fully Automatic Top Load Washing Machine,realme TechLife,12,Fully Automatic,Top Load,with In-built Heater Grey,12290,29,559
344,Samsung 8 kg Semi Automatic Top Load Washing Machine,Samsung,8,Semi Automatic,Top Load,Red,25349,19,104
345,Samsung 9 kg withWi-Fi Enabled Fully Automatic Top Load Washing Machine,Samsung,9,Fully Automatic,Top Load,Black,25517,5,69
346,Samsung 7 kg with Wi-Fi Enabled Fully Automatic Top Load Washing Machine,Samsung,7,Fully Automatic,Top Load,Black,33400,8,5
347,Samsung 8 kg with Wi-Fi Enabled Fully Automatic Top Load Washing Machine,Samsung,8,Fully Automatic,Top Load,with In-built Heater Black,27396,8,7
348,Samsung 8 kg Fully Automatic Top Load Washing Machine,Samsung,8,Fully Automatic,Top Load,Black,33990,5,13
349,"Samsung 9 kg 5 star, Ecobubble, Super Speed, Wi-Fi, Digital Inverter, Hygiene Steam, Fully Automatic Top Load Washing Machine",Samsung,9,Fully Automatic,Top Load,with In-built Heater Black,24490,22,97
350,"Samsung 9 kg 5 star, Eco Bubble Technology with Super Speed, Wi-Fi Enabled , Digital Inverter Motor, Dual Storm, Fully Automatic Top Load Washing Machine",Samsung,9,Fully Automatic,Top Load,Black,16567,9,69
351,Samsung 8.5 kg Semi Automatic Top Load Washing Machine,Samsung,8.5,Semi Automatic,Top Load,"Blue, Grey",33957,2,46
352,Samsung 10 kg Wi-Fi EnabledInverter 5 Star with Ecobubble Technology Fully Automatic Top Load Washing Machine,Samsung,10,Fully Automatic,Top Load,Grey,26812,16,24726
353,Samsung 8 kg with Wi-Fi Enabled Fully Automatic Top Load Washing Machine,Samsung,8,Fully Automatic,Top Load,Grey,23999,31,212
354,Samsung 9 kg with Wi-Fi Enabled Fully Automatic Top Load Washing Machine,Samsung,9,Fully Automatic,Top Load,with In-built Heater Grey,159990,41,24726
355,"LG 13 kg WashTower, AI Direct Drive & DUAL Inverter Heat Pump, Wi-Fi, Steam Fully Automatic Front Load Washing Machine",LG,13,Fully Automatic,Front Load,with In-built Heater Multicolor,21800,9,13331
356,Unknown,IFB,5.5,Unknown,Unknown,Unknown,9490,40,655
357,"Midea 8 kg 5 Star Rat Away Feature, Air Jet Dry IPX4 Protection Semi Automatic Top Load Washing Machine",Midea,8,Semi Automatic,Top Load,"Black, Grey",10900,16,52
358,Godrej 7 kg Semi Automatic Top Load Washing Machine,Godrej,7,Semi Automatic,Top Load,"White, Blue",14704,1,287
359,Samsung 7.5 kg Semi Automatic Top Load Washing Machine,Samsung,7.5,Semi Automatic,Top Load,"Red, White, Grey",,,846
360,Samsung 7.5 kg Semi Automatic Top Load Washing Machine,Samsung,7.5,Semi Automatic,Top Load,"Red, White, Grey",14704,1,846
361,"LG 10 kg 5 Star with Roller Jet Pulsator with Soak, Wind Jet Dry and Rat Away, 6.5 Kg (Spin Tub Capacity) Semi Automatic Top Load Washing Machine",LG,10,Semi Automatic,Top Load,"Maroon, White",17429,14,1131
362,Samsung 7 kg Semi Automatic Top Load Washing Machine,Samsung,7,Semi Automatic,Top Load,"Red, White, Grey",12500,8,975
363,ONIDA 6 kg 5 Star 10 Wash Programs Stainless Steel Drum Fully Automatic Top Load Washing Machine,ONIDA,6,Fully Automatic,Top Load,Grey,11990,40,56326
364,Whirlpool 9.5 kg With Hard water wash Fully Automatic Top Load Washing Machine,Whirlpool,9.5,Fully Automatic,Top Load,Grey,22619,31,150
365,Panasonic 7 kg 5 Star AquaBeat Wash Fully Automatic Top Load Washing Machine,Panasonic,7,Fully Automatic,Top Load,Grey,16793,18,12421
366,Whirlpool 7 kg Magic Clean 5 Star Semi Automatic Top Load Washing Machine,Whirlpool,7,Semi Automatic,Top Load,"Black, Grey",10990,17,9279
367,Godrej 8 kg 5 Star with Tri- Roto Scrub Pulsator Washing Machine,Godrej,8,Semi Automatic,Top Load,"Semi Automatic Top Load Black, White",12990,23,734
368,Voltas Beko by A Tata Product 14 kg Semi Automatic Top Load Washing Machine,Voltas Beko by A Tata Product,14,Semi Automatic,Top Load,"Grey, White",17343,29,197
369,ONIDA 8 kg 5 star Hexafin Pulsator Inbuilt Basket 1450 RPM Semi Automatic Top Load Washing Machine,ONIDA,8,Semi Automatic,Top Load,Grey,10677,22,10520
370,Whirlpool 11 kg 5 Star Semi Automatic Top Load Washing Machine,Whirlpool,11,Semi Automatic,Top Load,with In-built Heater Grey,17599,16,101
371,Lloyd by Havells 7.5 kg Semi Automatic Top Load Washing Machine,Lloyd by Havells,7.5,Semi Automatic,Top Load,Grey,12999,37,7
372,Lloyd 7.5 kg Semi Automatic Top Load Washing Machine,Lloyd,7.5,Semi Automatic,Top Load,"Black, Red",11790,30,7
373,Samsung 7.5 Kg Semi Automatic Top Load Washing Machine,Samsung,7.5,Semi Automatic,Top Load,"Black, Grey",13578,14,14
374,"Voltas Beko by A Tata Product 6.5 kg with Fountain Wash, Baffle Filter and Eco Wash with 10 Wash Programs Fully Automatic Top Load Washing Machine",Voltas Beko by A Tata Product,6.5,Fully Automatic,Top Load,Grey,14190,51,172
375,Whirlpool 7.5 kg Magic Clean 5 Star Fully Automatic Top Load Washing Machine,Whirlpool,7.5,Fully Automatic,Top Load,Grey,16990,20,25705
376,ONIDA 6.5 kg 5 Star Semi Automatic Top Load Washing Machine,ONIDA,6.5,Semi Automatic,Top Load,"Blue, White",9990,1,10520
377,LG 7.5 kg Fully Automatic Top Load Washing Machine,LG,7.5,Fully Automatic,Top Load,Grey,30990,21,4
378,ONIDA 8 kg 5 star and In-built Basket Semi Automatic Top Load Washing Machine,ONIDA,8,Semi Automatic,Top Load,"Red, White",10677,22,10520
379,realme TechLife 9 kg In-built Heater with MegaWash+ Fully Automatic Front Load Washing Machine,realme TechLife,9,Fully Automatic,Front Load,with In-built Heater Grey,37000,30,2549
380,"IFB 8.5 kg 5 Star 4D Wash Technology & illumination Knob, Fully Automatic Front Load Washing Machine",IFB,8.5,Fully Automatic,Front Load,with In-built Heater White,42540,29,1017
381,IFB 9 kg with Steam 5 Star AI Powered Eco Inverter with Wi-Fi EnabledOxyjet� 9 Swirl Wash Fully Automatic Front Load Washing Machine,IFB,9,Fully Automatic,Front Load,with In-built Heater Brown,44490,38,1987
382,"IFB 10 kg with Steam 5 Star AI Powered Eco Inverter with Wi-Fi EnabledOxyjet 9 Swirl Wash, Fully Automatic Front Load Washing Machine",IFB,10,Fully Automatic,Front Load,with In-built Heater Brown,36490,,465
383,IFB 8 kg 5 Star 9 Swirl AI Powered with Wi-Fi Enabled�� with 2x Power Steam Fully Automatic Front Load Washing Machine,IFB,8,Fully Automatic,Front Load,with In-built Heater Brown,,,465
384,"LG 9 kg with Steam,inverter , Smart Diagnosis Fully Automatic Front Load Washing Machine",LG,9,Fully Automatic,Front Load,"with In-built Heater Grey, Silver",44490,5,192
385,Unknown,BOSCH,9,Unknown,Unknown,Unknown,48990,31,29
386,"Haier 9 kg Toughened Glass with Digital Kingfisher Print, Anti Bacterial Vortex Pulsator, 1300 RPM, Spray Function, Wash Programs, Magic Filter, Rat Mesh Semi Automatic Top Load Washing Machine",Haier,9,Semi Automatic,Top Load,"Black, Grey",14399,33,6970
387,"Haier 11 kg Toughened Glass with Digital Kingfisher Print, Anti Bacterial Vortex Pulsator, 1300 RPM, Spray Function, Wash Programs, Magic Filter, Rat Mesh Semi Automatic Top Load Washing Machine",Haier,11,Semi Automatic,Top Load,Black,14950,38,6970
388,Voltas Beko 11 kg Fully Automatic Top Load Washing Machine,Voltas Beko,11,Fully Automatic,Top Load,"with In-built Heater Black, Grey",20999,56,2679
389,IFB 7 kg Fully Automatic Top Load Washing Machine,IFB,7,Fully Automatic,Top Load,with In-built Heater Grey,23390,20,41
390,Unknown,Samsung,6,Unknown,Unknown,Unknown,58973,15,240
391,"BOSCH 6 kg Drive Motor, Anti Tangle, Anti Vibration Fully Automatic Front Load Washing Machine",BOSCH,6,Fully Automatic,Front Load,White,48490,26,9193
392,"LG 11 kg 5 Star, AI Direct Drive Technology, 6 Motion DD, Steam, Wi-Fi Enabled, Wrinkle Care Fully Automatic Front Load Washing Machine",LG,11,Fully Automatic,Front Load,Silver,28780,12,13331
393,IFB 8 kg Fully Automatic Top Load Washing Machine,IFB,8,Fully Automatic,Top Load,with In-built Heater Brown,14440,30,43
394,"Lloyd by Havells 8.5 kg Toughened Glass Soft Closing Glass Lids, 1300 RPM, Soak Function, 3 Wash Programs, Magic Filter Semi Automatic Top Load Washing Machine",Lloyd by Havells,8.5,Semi Automatic,Top Load,Blue,16248,29,1525
395,ONIDA 7.5 kg 5 Star Dual Action Pulsator Quadra Scrub Fully Automatic Top Load Washing Machine,ONIDA,7.5,Fully Automatic,Top Load,Black,35490,46,56326
396,"Electrolux 8 kg 5 Star EcoInverter, 40C Vapour Wash,UltimateCare 300 Fully Automatic Front Load Washing Machine",Electrolux,8,Fully Automatic,Front Load,White,76494,21,66
397,Unknown,BOSCH,6,Unknown,Unknown,Unknown,15989,27,71
398,ONIDA 7 kg 5 star and With Crystal Drum Technology Fully Automatic Top Load Washing Machine,ONIDA,7,Fully Automatic,Top Load,Grey,11950,20,252
399,"Whirlpool 8 kg 5 Star, Supersoak Technology Semi Automatic Top Load Washing Machine",Whirlpool,8,Semi Automatic,Top Load,Red,36430,20,5605
400,"IFB 11 kg 5 Star with DeepClean Technology, Power Steam, AI Powered, Aqua Energie, 5D Wash Fully Automatic Top Load Washing Machine",IFB,11,Fully Automatic,Top Load,with In-built Heater Grey,23499,26,5
401,BOSCH 8 kg Fully Automatic Top Load Washing Machine,BOSCH,8,Fully Automatic,Top Load,"Black, Maroon",11260,12,144
402,Whirlpool 7 kg Semi Automatic Top Load Washing Machine,Whirlpool,7,Semi Automatic,Top Load,"Maroon, White",34290,38,23777
403,"Samsung 8 kg with Steam ,Wi-Fi Enabled Fully Automatic Front Load Washing Machine",Samsung,8,Fully Automatic,Front Load,with In-built Heater Black,49990,14,45
404,"Samsung 9 kg 5 Star, Eco Bubble Technology, AI Control , Wi-Fi Enabled , Digital Inverter Motor, Hygiene Steam, Fully Automatic Front Load Washing Machine",Samsung,9,Fully Automatic,Front Load,with In-built Heater Black,23490,26,1373
405,BOSCH 8 kg Fully Automatic Top Load Washing Machine,BOSCH,8,Fully Automatic,Top Load,"Black, Red",25500,28,144
406,BOSCH 8 kg Fully Automatic Top Load Washing Machine,BOSCH,8,Fully Automatic,Top Load,"Black, Maroon",44957,29,15
407,"Samsung 8 kg with Steam ,Wi-Fi Enabled Fully Automatic Front Load Washing Machine",Samsung,8,Fully Automatic,Front Load,Black,,,45
408,Acer 8 kg Semi Automatic Top Load Washing Machine,Acer,8,Semi Automatic,Top Load,Grey,10840,36,4
409,Whirlpool 9.5 kg Semi Automatic Top Load Washing Machine,Whirlpool,9.5,Semi Automatic,Top Load,Black,14290,39,113
410,Unknown,IFB,5.5,Unknown,Unknown,Unknown,24480,15,7
411,Midea 6 kg Fully Automatic Front Load Washing Machine,Midea,6,Fully Automatic,Front Load,with In-built Heater White,17990,25,16308
412,"Thomson 10 kg PureWash with Stainless Steel Drum, Magic Filter and Multiple Wash Programs Fully Automatic Top Load Washing Machine",Thomson,10,Fully Automatic,Top Load,Grey,14999,26,6756
413,Godrej 7 kg 5 Star with i-Wash technology Washing Machine,Godrej,7,Fully Automatic,Top Load,"Fully Automatic Top Load Black, Grey",14990,24,4180
414,"Acer 7.5 kg Halo Wash Series with AiSense, 5 Star Rating, AutoBalance, HelixFlow Pulsator, Pro-Foam Tub Fully Automatic Top Load Washing Machine",Acer,7.5,Fully Automatic,Top Load,"Black, Grey",16500,54,1193
415,"Haier 10 kg Toughened Glass, Anti Bacterial Vortex Pulsator, 1300 RPM, Spray Function, Wash Programs, Magic Filter, Rat Mesh Semi Automatic Top Load Washing Machine",Haier,10,Semi Automatic,Top Load,"with In-built Heater Black, Grey",14999,36,6970
416,Voltas Beko by A Tata Product 12 kg A Tata Product Anti-allergen Hygiene Boost Washing Machine,Voltas Beko by A Tata Product,12,Semi Automatic,Top Load,"with Fast Dry and Water Proof IPX4 Panel Semi Automatic Top Load Maroon, White",13640,35,23446
417,BOSCH 9 kg Fully Automatic Front Load Washing Machine,BOSCH,9,Fully Automatic,Front Load,with In-built Heater Silver,36990,29,13805
418,ONIDA 6.5 kg 5 Star Bubble Drum Wash Waterfall Technology Fully Automatic Top Load Washing Machine,ONIDA,6.5,Fully Automatic,Top Load,Black,13199,38,56326
419,Samsung 8 kg with Wi-Fi Enabled Fully Automatic Top Load Washing Machine,Samsung,8,Fully Automatic,Top Load,with In-built Heater Brown,30405,7,7
420,Samsung 9 kg with Wi-Fi Enabled Fully Automatic Top Load Washing Machine,Samsung,9,Fully Automatic,Top Load,with In-built Heater Brown,31900,10,97
421,IFB 12 kg Fully Automatic Top Load Washing Machine,IFB,12,Fully Automatic,Top Load,with In-built Heater Blue,35590,23,13
422,Godrej 8.5 kg Semi Automatic Top Load Washing Machine,Godrej,8.5,Semi Automatic,Top Load,Grey,15499,34,57
423,Godrej 7.5 kg Inbuilt Heater with Unbalanced Load Sensing Fully Automatic Top Load Washing Machine,Godrej,7.5,Fully Automatic,Top Load,with In-built Heater Grey,16990,48,4180
424,Lloyd by Havells 7.5 kg Semi Automatic Top Load Washing Machine,Lloyd by Havells,7.5,Semi Automatic,Top Load,Grey,19500,8,11
425,LG 11 kg Fully Automatic Top Load Washing Machine,LG,11,Fully Automatic,Top Load,with In-built Heater Black,17874,8,107
